ABC
ABC ACD
ABD BCD
ABC ACD ADE
ABC ACE CDE
ABD ADE BCD
ABE BCD BDE
ABE BCE CDE
ABC ACD ADE AEF
ABC ACD ADF DEF
ABC ACE AEF CDE
ABC ACF CDE CEF
ABC ACF CDF DEF
ABD ADE AEF BCD
ABD ADF BCD DEF
ABE AEF BCD BDE
ABE AEF BCE CDE
ABF BCD BDE BEF
ABF BCD BDF DEF
ABF BCE BEF CDE
ABF BCF CDE CEF
ABF BCF CDF DEF
ABC ACD ADE AEF AFG
ABC ACD ADE AEG EFG
ABC ACD ADF AFG DEF
ABC ACD ADG DEF DFG
ABC ACD ADG DEG EFG
ABC ACE AEF AFG CDE
ABC ACE AEG CDE EFG
ABC ACF AFG CDE CEF
ABC ACF AFG CDF DEF
ABC ACG CDE CEF CFG
ABC ACG CDE CEG EFG
ABC ACG CDF CFG DEF
ABC ACG CDG DEF DFG
ABC ACG CDG DEG EFG
ABD ADE AEF AFG BCD
ABD ADE AEG BCD EFG
ABD ADF AFG BCD DEF
ABD ADG BCD DEF DFG
ABD ADG BCD DEG EFG
ABE AEF AFG BCD BDE
ABE AEF AFG BCE CDE
ABE AEG BCD BDE EFG
ABE AEG BCE CDE EFG
ABF AFG BCD BDE BEF
ABF AFG BCD BDF DEF
ABF AFG BCE BEF CDE
ABF AFG BCF CDE CEF
ABF AFG BCF CDF DEF
ABG BCD BDE BEF BFG
ABG BCD BDE BEG EFG
ABG BCD BDF BFG DEF
ABG BCD BDG DEF DFG
ABG BCD BDG DEG EFG
ABG BCE BEF BFG CDE
ABG BCE BEG CDE EFG
ABG BCF BFG CDE CEF
ABG BCF BFG CDF DEF
ABG BCG CDE CEF CFG
ABG BCG CDE CEG EFG
ABG BCG CDF CFG DEF
ABG BCG CDG DEF DFG
ABG BCG CDG DEG EFG
ABC ACD ADE AEF AFI AIJ FGH FHI
ABC ACD ADE AEF AFI AIJ FGI GHI
ABC ACD ADE AEF AFJ FGH FHI FIJ
ABC ACD ADE AEF AFJ FGH FHJ HIJ
ABC ACD ADE AEF AFJ FGI FIJ GHI
ABC ACD ADE AEF AFJ FGJ GHI GIJ
ABC ACD ADE AEF AFJ FGJ GHJ HIJ
ABC ACD ADE AEG AGH AHI AIJ EFG
ABC ACD ADE AEG AGH AHJ EFG HIJ
ABC ACD ADE AEG AGI AIJ EFG GHI
ABC ACD ADE AEG AGJ EFG GHI GIJ
ABC ACD ADE AEG AGJ EFG GHJ HIJ
ABC ACD ADE AEH AHI AIJ EFG EGH
ABC ACD ADE AEH AHI AIJ EFH FGH
ABC ACD ADE AEH AHJ EFG EGH HIJ
ABC ACD ADE AEH AHJ EFH FGH HIJ
ABC ACD ADE AEI AIJ EFG EGH EHI
ABC ACD ADE AEI AIJ EFG EGI GHI
ABC ACD ADE AEI AIJ EFH EHI FGH
ABC ACD ADE AEI AIJ EFI FGH FHI
ABC ACD ADE AEI AIJ EFI FGI GHI
ABC ACD ADE AEJ EFG EGH EHI EIJ
ABC ACD ADE AEJ EFG EGH EHJ HIJ
ABC ACD ADE AEJ EFG EGI EIJ GHI
ABC ACD ADE AEJ EFG EGJ GHI GIJ
ABC ACD ADE AEJ EFG EGJ GHJ HIJ
ABC ACD ADE AEJ EFH EHI EIJ FGH
ABC ACD ADE AEJ EFH EHJ FGH HIJ
ABC ACD ADE AEJ EFI EIJ FGH FHI
ABC ACD ADE AEJ EFI EIJ FGI GHI
ABC ACD ADE AEJ EFJ FGH FHI FIJ
ABC ACD ADE AEJ EFJ FGH FHJ HIJ
ABC ACD ADE AEJ EFJ FGI FIJ GHI
ABC ACD ADE AEJ EFJ FGJ GHI GIJ
ABC ACD ADE AEJ EFJ FGJ GHJ HIJ
ABC ACD ADF AFG AGH AHI AIJ DEF
ABC ACD ADF AFG AGH AHJ DEF HIJ
ABC ACD ADF AFG AGI AIJ DEF GHI
ABC ACD ADF AFG AGJ DEF GHI GIJ
ABC ACD ADF AFG AGJ DEF GHJ HIJ
ABC ACD ADF AFH AHI AIJ DEF FGH
ABC ACD ADF AFH AHJ DEF FGH HIJ
ABC ACD ADF AFI AIJ DEF FGH FHI
ABC ACD ADF AFI AIJ DEF FGI GHI
ABC ACD ADF AFJ DEF FGH FHI FIJ
ABC ACD ADF AFJ DEF FGH FHJ HIJ
ABC ACD ADF AFJ DEF FGI FIJ GHI
ABC ACD ADF AFJ DEF FGJ GHI GIJ
ABC ACD ADF AFJ DEF FGJ GHJ HIJ
ABC ACD ADG AGH AHI AIJ DEF DFG
ABC ACD ADG AGH AHI AIJ DEG EFG
ABC ACD ADG AGH AHJ DEF DFG HIJ
ABC ACD ADG AGH AHJ DEG EFG HIJ
ABC ACD ADG AGI AIJ DEF DFG GHI
ABC ACD ADG AGI AIJ DEG EFG GHI
ABC ACD ADG AGJ DEF DFG GHI GIJ
ABC ACD ADG AGJ DEF DFG GHJ HIJ
ABC ACD ADG AGJ DEG EFG GHI GIJ
ABC ACD ADG AGJ DEG EFG GHJ HIJ
ABC ACD ADH AHI AIJ DEF DFG DGH
ABC ACD ADH AHI AIJ DEF DFH FGH
ABC ACD ADH AHI AIJ DEG DGH EFG
ABC ACD ADH AHI AIJ DEH EFG EGH
ABC ACD ADH AHI AIJ DEH EFH FGH
ABC ACD ADH AHJ DEF DFG DGH HIJ
ABC ACD ADH AHJ DEF DFH FGH HIJ
ABC ACD ADH AHJ DEG DGH EFG HIJ
ABC ACD ADH AHJ DEH EFG EGH HIJ
ABC ACD ADH AHJ DEH EFH FGH HIJ
ABC ACD ADI AIJ DEF DFG DGH DHI
ABC ACD ADI AIJ DEF DFG DGI GHI
ABC ACD ADI AIJ DEF DFH DHI FGH
ABC ACD ADI AIJ DEF DFI FGH FHI
ABC ACD ADI AIJ DEF DFI FGI GHI
ABC ACD ADI AIJ DEG DGH DHI EFG
ABC ACD ADI AIJ DEG DGI EFG GHI
ABC ACD ADI AIJ DEH DHI EFG EGH
ABC ACD ADI AIJ DEH DHI EFH FGH
ABC ACD ADI AIJ DEI EFG EGH EHI
ABC ACD ADI AIJ DEI EFG EGI GHI
ABC ACD ADI AIJ DEI EFH EHI FGH
ABC ACD ADI AIJ DEI EFI FGH FHI
ABC ACD ADI AIJ DEI EFI FGI GHI
ABC ACD ADJ DEF DFG DGH DHI DIJ
ABC ACD ADJ DEF DFG DGH DHJ HIJ
ABC ACD ADJ DEF DFG DGI DIJ GHI
ABC ACD ADJ DEF DFG DGJ GHI GIJ
ABC ACD ADJ DEF DFG DGJ GHJ HIJ
ABC ACD ADJ DEF DFH DHI DIJ FGH
ABC ACD ADJ DEF DFH DHJ FGH HIJ
ABC ACD ADJ DEF DFI DIJ FGH FHI
ABC ACD ADJ DEF DFI DIJ FGI GHI
ABC ACD ADJ DEF DFJ FGH FHI FIJ
ABC ACD ADJ DEF DFJ FGH FHJ HIJ
ABC ACD ADJ DEF DFJ FGI FIJ GHI
ABC ACD ADJ DEF DFJ FGJ GHI GIJ
ABC ACD ADJ DEF DFJ FGJ GHJ HIJ
ABC ACD ADJ DEG DGH DHI DIJ EFG
ABC ACD ADJ DEG DGH DHJ EFG HIJ
ABC ACD ADJ DEG DGI DIJ EFG GHI
ABC ACD ADJ DEG DGJ EFG GHI GIJ
ABC ACD ADJ DEG DGJ EFG GHJ HIJ
ABC ACD ADJ DEH DHI DIJ EFG EGH
ABC ACD ADJ DEH DHI DIJ EFH FGH
ABC ACD ADJ DEH DHJ EFG EGH HIJ
ABC ACD ADJ DEH DHJ EFH FGH HIJ
ABC ACD ADJ DEI DIJ EFG EGH EHI
ABC ACD ADJ DEI DIJ EFG EGI GHI
ABC ACD ADJ DEI DIJ EFH EHI FGH
ABC ACD ADJ DEI DIJ EFI FGH FHI
ABC ACD ADJ DEI DIJ EFI FGI GHI
ABC ACD ADJ DEJ EFG EGH EHI EIJ
ABC ACD ADJ DEJ EFG EGH EHJ HIJ
ABC ACD ADJ DEJ EFG EGI EIJ GHI
ABC ACD ADJ DEJ EFG EGJ GHI GIJ
ABC ACD ADJ DEJ EFG EGJ GHJ HIJ
ABC ACD ADJ DEJ EFH EHI EIJ FGH
ABC ACD ADJ DEJ EFH EHJ FGH HIJ
ABC ACD ADJ DEJ EFI EIJ FGH FHI
ABC ACD ADJ DEJ EFI EIJ FGI GHI
ABC ACD ADJ DEJ EFJ FGH FHI FIJ
ABC ACD ADJ DEJ EFJ FGH FHJ HIJ
ABC ACD ADJ DEJ EFJ FGI FIJ GHI
ABC ACD ADJ DEJ EFJ FGJ GHI GIJ
ABC ACD ADJ DEJ EFJ FGJ GHJ HIJ
ABC ACE AEF AFG AGH AHI AIJ CDE
ABC ACE AEF AFG AGH AHJ CDE HIJ
ABC ACE AEF AFG AGI AIJ CDE GHI
ABC ACE AEF AFG AGJ CDE GHI GIJ
ABC ACE AEF AFG AGJ CDE GHJ HIJ
ABC ACE AEF AFH AHI AIJ CDE FGH
ABC ACE AEF AFH AHJ CDE FGH HIJ
ABC ACE AEF AFI AIJ CDE FGH FHI
ABC ACE AEF AFI AIJ CDE FGI GHI
ABC ACE AEF AFJ CDE FGH FHI FIJ
ABC ACE AEF AFJ CDE FGH FHJ HIJ
ABC ACE AEF AFJ CDE FGI FIJ GHI
ABC ACE AEF AFJ CDE FGJ GHI GIJ
ABC ACE AEF AFJ CDE FGJ GHJ HIJ
ABC ACE AEG AGH AHI AIJ CDE EFG
ABC ACE AEG AGH AHJ CDE EFG HIJ
ABC ACE AEG AGI AIJ CDE EFG GHI
ABC ACE AEG AGJ CDE EFG GHI GIJ
ABC ACE AEG AGJ CDE EFG GHJ HIJ
ABC ACE AEH AHI AIJ CDE EFG EGH
ABC ACE AEH AHI AIJ CDE EFH FGH
ABC ACE AEH AHJ CDE EFG EGH HIJ
ABC ACE AEH AHJ CDE EFH FGH HIJ
ABC ACE AEI AIJ CDE EFG EGH EHI
ABC ACE AEI AIJ CDE EFG EGI GHI
ABC ACE AEI AIJ CDE EFH EHI FGH
ABC ACE AEI AIJ CDE EFI FGH FHI
ABC ACE AEI AIJ CDE EFI FGI GHI
ABC ACE AEJ CDE EFG EGH EHI EIJ
ABC ACE AEJ CDE EFG EGH EHJ HIJ
ABC ACE AEJ CDE EFG EGI EIJ GHI
ABC ACE AEJ CDE EFG EGJ GHI GIJ
ABC ACE AEJ CDE EFG EGJ GHJ HIJ
ABC ACE AEJ CDE EFH EHI EIJ FGH
ABC ACE AEJ CDE EFH EHJ FGH HIJ
ABC ACE AEJ CDE EFI EIJ FGH FHI
ABC ACE AEJ CDE EFI EIJ FGI GHI
ABC ACE AEJ CDE EFJ FGH FHI FIJ
ABC ACE AEJ CDE EFJ FGH FHJ HIJ
ABC ACE AEJ CDE EFJ FGI FIJ GHI
ABC ACE AEJ CDE EFJ FGJ GHI GIJ
ABC ACE AEJ CDE EFJ FGJ GHJ HIJ
ABC ACF AFG AGH AHI AIJ CDE CEF
ABC ACF AFG AGH AHI AIJ CDF DEF
ABC ACF AFG AGH AHJ CDE CEF HIJ
ABC ACF AFG AGH AHJ CDF DEF HIJ
ABC ACF AFG AGI AIJ CDE CEF GHI
ABC ACF AFG AGI AIJ CDF DEF GHI
ABC ACF AFG AGJ CDE CEF GHI GIJ
ABC ACF AFG AGJ CDE CEF GHJ HIJ
ABC ACF AFG AGJ CDF DEF GHI GIJ
ABC ACF AFG AGJ CDF DEF GHJ HIJ
ABC ACF AFH AHI AIJ CDE CEF FGH
ABC ACF AFH AHI AIJ CDF DEF FGH
ABC ACF AFH AHJ CDE CEF FGH HIJ
ABC ACF AFH AHJ CDF DEF FGH HIJ
ABC ACF AFI AIJ CDE CEF FGH FHI
ABC ACF AFI AIJ CDE CEF FGI GHI
ABC ACF AFI AIJ CDF DEF FGH FHI
ABC ACF AFI AIJ CDF DEF FGI GHI
ABC ACF AFJ CDE CEF FGH FHI FIJ
ABC ACF AFJ CDE CEF FGH FHJ HIJ
ABC ACF AFJ CDE CEF FGI FIJ GHI
ABC ACF AFJ CDE CEF FGJ GHI GIJ
ABC ACF AFJ CDE CEF FGJ GHJ HIJ
ABC ACF AFJ CDF DEF FGH FHI FIJ
ABC ACF AFJ CDF DEF FGH FHJ HIJ
ABC ACF AFJ CDF DEF FGI FIJ GHI
ABC ACF AFJ CDF DEF FGJ GHI GIJ
ABC ACF AFJ CDF DEF FGJ GHJ HIJ
ABC ACG AGH AHI AIJ CDE CEF CFG
ABC ACG AGH AHI AIJ CDE CEG EFG
ABC ACG AGH AHI AIJ CDF CFG DEF
ABC ACG AGH AHI AIJ CDG DEF DFG
ABC ACG AGH AHI AIJ CDG DEG EFG
ABC ACG AGH AHJ CDE CEF CFG HIJ
ABC ACG AGH AHJ CDE CEG EFG HIJ
ABC ACG AGH AHJ CDF CFG DEF HIJ
ABC ACG AGH AHJ CDG DEF DFG HIJ
ABC ACG AGH AHJ CDG DEG EFG HIJ
ABC ACG AGI AIJ CDE CEF CFG GHI
ABC ACG AGI AIJ CDE CEG EFG GHI
ABC ACG AGI AIJ CDF CFG DEF GHI
ABC ACG AGI AIJ CDG DEF DFG GHI
ABC ACG AGI AIJ CDG DEG EFG GHI
ABC ACG AGJ CDE CEF CFG GHI GIJ
ABC ACG AGJ CDE CEF CFG GHJ HIJ
ABC ACG AGJ CDE CEG EFG GHI GIJ
ABC ACG AGJ CDE CEG EFG GHJ HIJ
ABC ACG AGJ CDF CFG DEF GHI GIJ
ABC ACG AGJ CDF CFG DEF GHJ HIJ
ABC ACG AGJ CDG DEF DFG GHI GIJ
ABC ACG AGJ CDG DEF DFG GHJ HIJ
ABC ACG AGJ CDG DEG EFG GHI GIJ
ABC ACG AGJ CDG DEG EFG GHJ HIJ
ABC ACH AHI AIJ CDE CEF CFG CGH
ABC ACH AHI AIJ CDE CEF CFH FGH
ABC ACH AHI AIJ CDE CEG CGH EFG
ABC ACH AHI AIJ CDE CEH EFG EGH
ABC ACH AHI AIJ CDE CEH EFH FGH
ABC ACH AHI AIJ CDF CFG CGH DEF
ABC ACH AHI AIJ CDF CFH DEF FGH
ABC ACH AHI AIJ CDG CGH DEF DFG
ABC ACH AHI AIJ CDG CGH DEG EFG
ABC ACH AHI AIJ CDH DEF DFG DGH
ABC ACH AHI AIJ CDH DEF DFH FGH
ABC ACH AHI AIJ CDH DEG DGH EFG
ABC ACH AHI AIJ CDH DEH EFG EGH
ABC ACH AHI AIJ CDH DEH EFH FGH
ABC ACH AHJ CDE CEF CFG CGH HIJ
ABC ACH AHJ CDE CEF CFH FGH HIJ
ABC ACH AHJ CDE CEG CGH EFG HIJ
ABC ACH AHJ CDE CEH EFG EGH HIJ
ABC ACH AHJ CDE CEH EFH FGH HIJ
ABC ACH AHJ CDF CFG CGH DEF HIJ
ABC ACH AHJ CDF CFH DEF FGH HIJ
ABC ACH AHJ CDG CGH DEF DFG HIJ
ABC ACH AHJ CDG CGH DEG EFG HIJ
ABC ACH AHJ CDH DEF DFG DGH HIJ
ABC ACH AHJ CDH DEF DFH FGH HIJ
ABC ACH AHJ CDH DEG DGH EFG HIJ
ABC ACH AHJ CDH DEH EFG EGH HIJ
ABC ACH AHJ CDH DEH EFH FGH HIJ
ABC ACI AIJ CDE CEF CFG CGH CHI
ABC ACI AIJ CDE CEF CFG CGI GHI
ABC ACI AIJ CDE CEF CFH CHI FGH
ABC ACI AIJ CDE CEF CFI FGH FHI
ABC ACI AIJ CDE CEF CFI FGI GHI
ABC ACI AIJ CDE CEG CGH CHI EFG
ABC ACI AIJ CDE CEG CGI EFG GHI
ABC ACI AIJ CDE CEH CHI EFG EGH
ABC ACI AIJ CDE CEH CHI EFH FGH
ABC ACI AIJ CDE CEI EFG EGH EHI
ABC ACI AIJ CDE CEI EFG EGI GHI
ABC ACI AIJ CDE CEI EFH EHI FGH
ABC ACI AIJ CDE CEI EFI FGH FHI
ABC ACI AIJ CDE CEI EFI FGI GHI
ABC ACI AIJ CDF CFG CGH CHI DEF
ABC ACI AIJ CDF CFG CGI DEF GHI
ABC ACI AIJ CDF CFH CHI DEF FGH
ABC ACI AIJ CDF CFI DEF FGH FHI
ABC ACI AIJ CDF CFI DEF FGI GHI
ABC ACI AIJ CDG CGH CHI DEF DFG
ABC ACI AIJ CDG CGH CHI DEG EFG
ABC ACI AIJ CDG CGI DEF DFG GHI
ABC ACI AIJ CDG CGI DEG EFG GHI
ABC ACI AIJ CDH CHI DEF DFG DGH
ABC ACI AIJ CDH CHI DEF DFH FGH
ABC ACI AIJ CDH CHI DEG DGH EFG
ABC ACI AIJ CDH CHI DEH EFG EGH
ABC ACI AIJ CDH CHI DEH EFH FGH
ABC ACI AIJ CDI DEF DFG DGH DHI
ABC ACI AIJ CDI DEF DFG DGI GHI
ABC ACI AIJ CDI DEF DFH DHI FGH
ABC ACI AIJ CDI DEF DFI FGH FHI
ABC ACI AIJ CDI DEF DFI FGI GHI
ABC ACI AIJ CDI DEG DGH DHI EFG
ABC ACI AIJ CDI DEG DGI EFG GHI
ABC ACI AIJ CDI DEH DHI EFG EGH
ABC ACI AIJ CDI DEH DHI EFH FGH
ABC ACI AIJ CDI DEI EFG EGH EHI
ABC ACI AIJ CDI DEI EFG EGI GHI
ABC ACI AIJ CDI DEI EFH EHI FGH
ABC ACI AIJ CDI DEI EFI FGH FHI
ABC ACI AIJ CDI DEI EFI FGI GHI
ABC ACJ CDE CEF CFG CGH CHI CIJ
ABC ACJ CDE CEF CFG CGH CHJ HIJ
ABC ACJ CDE CEF CFG CGI CIJ GHI
ABC ACJ CDE CEF CFG CGJ GHI GIJ
ABC ACJ CDE CEF CFG CGJ GHJ HIJ
ABC ACJ CDE CEF CFH CHI CIJ FGH
ABC ACJ CDE CEF CFH CHJ FGH HIJ
ABC ACJ CDE CEF CFI CIJ FGH FHI
ABC ACJ CDE CEF CFI CIJ FGI GHI
ABC ACJ CDE CEF CFJ FGH FHI FIJ
ABC ACJ CDE CEF CFJ FGH FHJ HIJ
ABC ACJ CDE CEF CFJ FGI FIJ GHI
ABC ACJ CDE CEF CFJ FGJ GHI GIJ
ABC ACJ CDE CEF CFJ FGJ GHJ HIJ
ABC ACJ CDE CEG CGH CHI CIJ EFG
ABC ACJ CDE CEG CGH CHJ EFG HIJ
ABC ACJ CDE CEG CGI CIJ EFG GHI
ABC ACJ CDE CEG CGJ EFG GHI GIJ
ABC ACJ CDE CEG CGJ EFG GHJ HIJ
ABC ACJ CDE CEH CHI CIJ EFG EGH
ABC ACJ CDE CEH CHI CIJ EFH FGH
ABC ACJ CDE CEH CHJ EFG EGH HIJ
ABC ACJ CDE CEH CHJ EFH FGH HIJ
ABC ACJ CDE CEI CIJ EFG EGH EHI
ABC ACJ CDE CEI CIJ EFG EGI GHI
ABC ACJ CDE CEI CIJ EFH EHI FGH
ABC ACJ CDE CEI CIJ EFI FGH FHI
ABC ACJ CDE CEI CIJ EFI FGI GHI
ABC ACJ CDE CEJ EFG EGH EHI EIJ
ABC ACJ CDE CEJ EFG EGH EHJ HIJ
ABC ACJ CDE CEJ EFG EGI EIJ GHI
ABC ACJ CDE CEJ EFG EGJ GHI GIJ
ABC ACJ CDE CEJ EFG EGJ GHJ HIJ
ABC ACJ CDE CEJ EFH EHI EIJ FGH
ABC ACJ CDE CEJ EFH EHJ FGH HIJ
ABC ACJ CDE CEJ EFI EIJ FGH FHI
ABC ACJ CDE CEJ EFI EIJ FGI GHI
ABC ACJ CDE CEJ EFJ FGH FHI FIJ
ABC ACJ CDE CEJ EFJ FGH FHJ HIJ
ABC ACJ CDE CEJ EFJ FGI FIJ GHI
ABC ACJ CDE CEJ EFJ FGJ GHI GIJ
ABC ACJ CDE CEJ EFJ FGJ GHJ HIJ
ABC ACJ CDF CFG CGH CHI CIJ DEF
ABC ACJ CDF CFG CGH CHJ DEF HIJ
ABC ACJ CDF CFG CGI CIJ DEF GHI
ABC ACJ CDF CFG CGJ DEF GHI GIJ
ABC ACJ CDF CFG CGJ DEF GHJ HIJ
ABC ACJ CDF CFH CHI CIJ DEF FGH
ABC ACJ CDF CFH CHJ DEF FGH HIJ
ABC ACJ CDF CFI CIJ DEF FGH FHI
ABC ACJ CDF CFI CIJ DEF FGI GHI
ABC ACJ CDF CFJ DEF FGH FHI FIJ
ABC ACJ CDF CFJ DEF FGH FHJ HIJ
ABC ACJ CDF CFJ DEF FGI FIJ GHI
ABC ACJ CDF CFJ DEF FGJ GHI GIJ
ABC ACJ CDF CFJ DEF FGJ GHJ HIJ
ABC ACJ CDG CGH CHI CIJ DEF DFG
ABC ACJ CDG CGH CHI CIJ DEG EFG
ABC ACJ CDG CGH CHJ DEF DFG HIJ
ABC ACJ CDG CGH CHJ DEG EFG HIJ
ABC ACJ CDG CGI CIJ DEF DFG GHI
ABC ACJ CDG CGI CIJ DEG EFG GHI
ABC ACJ CDG CGJ DEF DFG GHI GIJ
ABC ACJ CDG CGJ DEF DFG GHJ HIJ
ABC ACJ CDG CGJ DEG EFG GHI GIJ
ABC ACJ CDG CGJ DEG EFG GHJ HIJ
ABC ACJ CDH CHI CIJ DEF DFG DGH
ABC ACJ CDH CHI CIJ DEF DFH FGH
ABC ACJ CDH CHI CIJ DEG DGH EFG
ABC ACJ CDH CHI CIJ DEH EFG EGH
ABC ACJ CDH CHI CIJ DEH EFH FGH
ABC ACJ CDH CHJ DEF DFG DGH HIJ
ABC ACJ CDH CHJ DEF DFH FGH HIJ
ABC ACJ CDH CHJ DEG DGH EFG HIJ
ABC ACJ CDH CHJ DEH EFG EGH HIJ
ABC ACJ CDH CHJ DEH EFH FGH HIJ
ABC ACJ CDI CIJ DEF DFG DGH DHI
ABC ACJ CDI CIJ DEF DFG DGI GHI
ABC ACJ CDI CIJ DEF DFH DHI FGH
ABC ACJ CDI CIJ DEF DFI FGH FHI
ABC ACJ CDI CIJ DEF DFI FGI GHI
ABC ACJ CDI CIJ DEG DGH DHI EFG
ABC ACJ CDI CIJ DEG DGI EFG GHI
ABC ACJ CDI CIJ DEH DHI EFG EGH
ABC ACJ CDI CIJ DEH DHI EFH FGH
ABC ACJ CDI CIJ DEI EFG EGH EHI
ABC ACJ CDI CIJ DEI EFG EGI GHI
ABC ACJ CDI CIJ DEI EFH EHI FGH
ABC ACJ CDI CIJ DEI EFI FGH FHI
ABC ACJ CDI CIJ DEI EFI FGI GHI
ABC ACJ CDJ DEF DFG DGH DHI DIJ
ABC ACJ CDJ DEF DFG DGH DHJ HIJ
ABC ACJ CDJ DEF DFG DGI DIJ GHI
ABC ACJ CDJ DEF DFG DGJ GHI GIJ
ABC ACJ CDJ DEF DFG DGJ GHJ HIJ
ABC ACJ CDJ DEF DFH DHI DIJ FGH
ABC ACJ CDJ DEF DFH DHJ FGH HIJ
ABC ACJ CDJ DEF DFI DIJ FGH FHI
ABC ACJ CDJ DEF DFI DIJ FGI GHI
ABC ACJ CDJ DEF DFJ FGH FHI FIJ
ABC ACJ CDJ DEF DFJ FGH FHJ HIJ
ABC ACJ CDJ DEF DFJ FGI FIJ GHI
ABC ACJ CDJ DEF DFJ FGJ GHI GIJ
ABC ACJ CDJ DEF DFJ FGJ GHJ HIJ
ABC ACJ CDJ DEG DGH DHI DIJ EFG
ABC ACJ CDJ DEG DGH DHJ EFG HIJ
ABC ACJ CDJ DEG DGI DIJ EFG GHI
ABC ACJ CDJ DEG DGJ EFG GHI GIJ
ABC ACJ CDJ DEG DGJ EFG GHJ HIJ
ABC ACJ CDJ DEH DHI DIJ EFG EGH
ABC ACJ CDJ DEH DHI DIJ EFH FGH
ABC ACJ CDJ DEH DHJ EFG EGH HIJ
ABC ACJ CDJ DEH DHJ EFH FGH HIJ
ABC ACJ CDJ DEI DIJ EFG EGH EHI
ABC ACJ CDJ DEI DIJ EFG EGI GHI
ABC ACJ CDJ DEI DIJ EFH EHI FGH
ABC ACJ CDJ DEI DIJ EFI FGH FHI
ABC ACJ CDJ DEI DIJ EFI FGI GHI
ABC ACJ CDJ DEJ EFG EGH EHI EIJ
ABC ACJ CDJ DEJ EFG EGH EHJ HIJ
ABC ACJ CDJ DEJ EFG EGI EIJ GHI
ABC ACJ CDJ DEJ EFG EGJ GHI GIJ
ABC ACJ CDJ DEJ EFG EGJ GHJ HIJ
ABC ACJ CDJ DEJ EFH EHI EIJ FGH
ABC ACJ CDJ DEJ EFH EHJ FGH HIJ
ABC ACJ CDJ DEJ EFI EIJ FGH FHI
ABC ACJ CDJ DEJ EFI EIJ FGI GHI
ABC ACJ CDJ DEJ EFJ FGH FHI FIJ
ABC ACJ CDJ DEJ EFJ FGH FHJ HIJ
ABC ACJ CDJ DEJ EFJ FGI FIJ GHI
ABC ACJ CDJ DEJ EFJ FGJ GHI GIJ
ABC ACJ CDJ DEJ EFJ FGJ GHJ HIJ
ABD ADE AEF AFG AGH AHI AIJ BCD
ABD ADE AEF AFG AGH AHJ BCD HIJ
ABD ADE AEF AFG AGI AIJ BCD GHI
ABD ADE AEF AFG AGJ BCD GHI GIJ
ABD ADE AEF AFG AGJ BCD GHJ HIJ
ABD ADE AEF AFH AHI AIJ BCD FGH
ABD ADE AEF AFH AHJ BCD FGH HIJ
ABD ADE AEF AFI AIJ BCD FGH FHI
ABD ADE AEF AFI AIJ BCD FGI GHI
ABD ADE AEF AFJ BCD FGH FHI FIJ
ABD ADE AEF AFJ BCD FGH FHJ HIJ
ABD ADE AEF AFJ BCD FGI FIJ GHI
ABD ADE AEF AFJ BCD FGJ GHI GIJ
ABD ADE AEF AFJ BCD FGJ GHJ HIJ
ABD ADE AEG AGH AHI AIJ BCD EFG
ABD ADE AEG AGH AHJ BCD EFG HIJ
ABD ADE AEG AGI AIJ BCD EFG GHI
ABD ADE AEG AGJ BCD EFG GHI GIJ
ABD ADE AEG AGJ BCD EFG GHJ HIJ
ABD ADE AEH AHI AIJ BCD EFG EGH
ABD ADE AEH AHI AIJ BCD EFH FGH
ABD ADE AEH AHJ BCD EFG EGH HIJ
ABD ADE AEH AHJ BCD EFH FGH HIJ
ABD ADE AEI AIJ BCD EFG EGH EHI
ABD ADE AEI AIJ BCD EFG EGI GHI
ABD ADE AEI AIJ BCD EFH EHI FGH
ABD ADE AEI AIJ BCD EFI FGH FHI
ABD ADE AEI AIJ BCD EFI FGI GHI
ABD ADE AEJ BCD EFG EGH EHI EIJ
ABD ADE AEJ BCD EFG EGH EHJ HIJ
ABD ADE AEJ BCD EFG EGI EIJ GHI
ABD ADE AEJ BCD EFG EGJ GHI GIJ
ABD ADE AEJ BCD EFG EGJ GHJ HIJ
ABD ADE AEJ BCD EFH EHI EIJ FGH
ABD ADE AEJ BCD EFH EHJ FGH HIJ
ABD ADE AEJ BCD EFI EIJ FGH FHI
ABD ADE AEJ BCD EFI EIJ FGI GHI
ABD ADE AEJ BCD EFJ FGH FHI FIJ
ABD ADE AEJ BCD EFJ FGH FHJ HIJ
ABD ADE AEJ BCD EFJ FGI FIJ GHI
ABD ADE AEJ BCD EFJ FGJ GHI GIJ
ABD ADE AEJ BCD EFJ FGJ GHJ HIJ
ABD ADF AFG AGH AHI AIJ BCD DEF
ABD ADF AFG AGH AHJ BCD DEF HIJ
ABD ADF AFG AGI AIJ BCD DEF GHI
ABD ADF AFG AGJ BCD DEF GHI GIJ
ABD ADF AFG AGJ BCD DEF GHJ HIJ
ABD ADF AFH AHI AIJ BCD DEF FGH
ABD ADF AFH AHJ BCD DEF FGH HIJ
ABD ADF AFI AIJ BCD DEF FGH FHI
ABD ADF AFI AIJ BCD DEF FGI GHI
ABD ADF AFJ BCD DEF FGH FHI FIJ
ABD ADF AFJ BCD DEF FGH FHJ HIJ
ABD ADF AFJ BCD DEF FGI FIJ GHI
ABD ADF AFJ BCD DEF FGJ GHI GIJ
ABD ADF AFJ BCD DEF FGJ GHJ HIJ
